name,website,phone,industry,industries,keywords,estimated_num_employees,city,state,country,postal_code,street_address,founded_year,revenue,linkedin_url,twitter_url,facebook_url,publicly_traded_symbol
Target Corporation (Electronics Manufacturing Services),,+1 262-947-8400,electrical/electronic manufacturing,electrical/electronic manufacturing,"cable assembly, high voltage repair, smt assembly, high voltage manufacturing, electronics manufacturing services, conformal coating, throughhole assembly, electronics manufacturing services conformal coating smt assembly circuit card assembly box build ass, box build assembly, wire harness assembly, circuit card assembly, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",75,Pleasant Prairie,Wisconsin,United States,53158,8400 Lakeview Pkwy,1964,,http://www.linkedin.com/company/target-corporation-electronics-manufacturing-services-,,,
PCB Design & Assembly,http://www.pcbdesignassembly.com,+1 858-842-3763,electrical/electronic manufacturing,electrical/electronic manufacturing,"printed circuit boards, pcb fabrication assembly, pcb fabrication amp assembly, pcb manufacturing, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",24,Poway,California,United States,92064,12875 Brookprinter Pl,,,http://www.linkedin.com/company/pcbdesign&assembly,,,
ACTIA Electronics,,+1 734-304-0007,electrical/electronic manufacturing,"electrical/electronic manufacturing, mechanical or industrial engineering","electronics manufacturing services, contract manufacturing, pcb assembly, smt manufacturing, appliances, electrical, & electronics manufacturing, mechanical or industrial engineering, electrical/electronic manufacturing",33,Romulus,Michigan,United States,48174-3659,15385 Pine,2017,,http://www.linkedin.com/company/actia-electronics,,,
Omega Electronics Manufacturing Services,http://www.omega-ems.com,+1 408-206-4260,electrical/electronic manufacturing,electrical/electronic manufacturing,"appliances, electrical, & electronics manufacturing, ems, electronics manufacturing services, bom scrub, dfm, rma repair, component engineering, iso certifications, cable harness prototype, supply chain management, quick turn assemblies, inventory management, cmm measurement, dfx analysis, blind/buried vias, high layer count pcbs, mechanical engineering, debug services, iso9001:2015, eco impact management, high tech manufacturing, hass, mes software, plasma cleaning, complex surface mount components, hybrid circuits, npi, j-std/ipc standards, services, depot repair, logistics, obsolescence mitigation, testing & qa, fpt, consumer electronics, pcb fabrication, pcb layout & engineering, as9100, regulatory compliance, b2b, elics, fine pitch below 0.4mm, thermal management solutions, boundary scan, medical electronics manufacturing, design for test, silicon valley, high reliability aerospace components, system testing, design for manufacturability, defense electronics, system-level testing, thermal management, x-ray inspection, quality system implementation, consulting, project management, supply chain development, low volume high mix production, itar, subsystem testing, custom enclosures integration, manufacturing engineering, iso13485:2016, semiconductor and other electronic component manufacturing, reliability testing, fct, microelectronics assembly, dft, cross-references to parts, conformal coating, ict, upgrade services, rework and repair, factorylogix, system integration, materials management, electrification, electronics manufacturing, component lifecycle analysis, cables and harness assembly, microvias, quality management, rf/microwave assembly, halt, aerospace & defense, medical devices, cgmp, order fulfillment, mil-spec quality testing, reverse logistics, microelectronics, healthcare, manufacturing, distribution, electrical/electronic manufacturing, mechanical or industrial engineering, logistics & supply chain, consumers, hardware, productivity, hospital & health care, health care, health, wellness & fitness",33,San Jose,California,United States,95138-1019,5400 Hellyer Ave,2015,,http://www.linkedin.com/company/omega-electronic-manufacturing-services,,,
Kimball Electronics,http://www.kimballelectronics.com,+1 812-634-4000,electrical/electronic manufacturing,"electrical/electronic manufacturing, mechanical or industrial engineering","medical electronics manufacturing, industrial electronics manufacturing, automotive electronics manufacturing, electronics manufacturing services, electrical products, technology, appliances, electrical, & electronics manufacturing, automotive ems, industrial manufacturing, electronics manufacturing awards, reliability engineering, customer engagement, global ems provider, contract manufacturing, medical disposables manufacturing, manufacturing process optimization, product lifecycle management, automotive electronics, medical devices, innovation, industrial electronics solutions, aftermarket services, reliability testing, refurbishment services, supplier management, electronics testing, product validation, industrial pcb assembly, public safety electronics manufacturing, automotive ems solutions, manufacturing facilities, medical device manufacturing, supply chain, product lifecycle, cold chain logistics, medical device assembly, electronics assembly, electronics repair, medical product testing, quality control, regulatory compliance, b2b, manufacturing services, electronics repair and refurbishment, product testing, global ems facilities, design and development, manufacturing process, product design, supply chain management, industrial automation, global manufacturing, quality assurance, electronics design support, industrial electronics testing, manufacturing solutions, industrial electronics, electronics manufacturing, product validation services, product development, medical electronics design, box build assembly, system integration services, semiconductor and other electronic component manufacturing, automotive supplier, medical electronics, electronics manufacturing automation, cold chain management, supplier excellence, pcb assembly, product sterilization, product sterilization management, ems, customer collaboration, public safety electronics, clean room assembly, supplier quality management, system integration, healthcare, manufacturing, automotive, medical, industrial, public safety, global facilities, electrical/electronic manufacturing, mechanical or industrial engineering, hospital & health care, logistics & supply chain, health care, health, wellness & fitness",7000,Jasper,Indiana,United States,47546,1205 Kimball Boulevard,1961,1.5B,http://www.linkedin.com/company/kimball-electronics-group,https://twitter.com/KeiKimball,https://facebook.com/Kimballelectronics/,KE
DirectPCB - Better Board Buying™,,+1 727-480-7045,electrical/electronic manufacturing,electrical/electronic manufacturing,"printed circuit boards, importing, tariffs, bareboards, logistics, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",5,Largo,Florida,United States,33774-3237,13801 Walsingham Rd,2019,,http://www.linkedin.com/company/directpcb-better-board-buying,,,
East West Wisconsin,,,electrical/electronic manufacturing,electrical/electronic manufacturing,"electronic contract manufacturing, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",130,Whitewater,Wisconsin,United States,53190,640 N Prospect Dr,1980,,http://www.linkedin.com/company/universal-electronics-inc.,,,
Samsung Electronics America,,+1 866-726-4249,electrical/electronic manufacturing,"electrical/electronic manufacturing, computer hardware, consumer electronics, consumer goods","smart tv, smartphone, tablets, wearable tech, computing, memory, storage, home appliances, led lighting, security, monitoring, consumer electronics, networks, home theater, audio, hardware + software, electronics, hardware, information technology, computers & electronics manufacturing, mobile devices, mobile, internet, information technology & services, wearables, consumer goods, consumers, internet of things, computer hardware, computer software, electrical/electronic manufacturing, mechanical or industrial engineering",10000,Englewood Cliffs,New Jersey,United States,07632,700 Sylvan Ave,1938,,http://www.linkedin.com/company/samsung-electronics-america,http://www.twitter.com/samsungtweets,http://www.facebook.com/SamsungUSA,
AdvancedPCB,,,electrical/electronic manufacturing,electrical/electronic manufacturing,"rigid printed circuit boards, highdensity interconnect, global sourcing, pcb manufacturing, design for manufacturability, printed circuit boards, itar registration & dod contracts ready, pcb fabrication & assembly, milprf31032, milprf55110, ipc 6012 class 3, 3a, as9100d, iso 9001 2015, defense & aerospace, industrial & automotive, medical & consumer, telecommunications & mobility, computing, networking & storage, appliances, electrical, & electronics manufacturing, defense & space, electrical/electronic manufacturing, mechanical or industrial engineering",88,Aurora,Colorado,United States,80011-8149,21101 E 32nd Pkwy,1977,,http://www.linkedin.com/company/advanced-pcb-official,,,
MKTPCB,http://www.mktpcb.com,,electrical/electronic manufacturing,electrical/electronic manufacturing,"printed circuit boards, pcba, pcb, computers & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",2,Nassau,New York,United States,12123,New York State Thruway,2008,,http://www.linkedin.com/company/mktpcba,,,
Burton Electronics Manufacturing Services,http://www.burtonems.com,+1 906-932-5970,electrical/electronic manufacturing,electrical/electronic manufacturing,"electronic assembly, electronic design, lifecycle analysis, design for manufacturability, pcb assembly, bom scrub, design for excellence, new product implementation, box build, supply chain management, appliances, electrical, & electronics manufacturing, manufacturing, medical device manufacturing, customer focus, after market & fulfillment services, continuous improvement, consumer electronics, quality management system, design for manufacturing, semiconductor and other electronic component manufacturing, box build systems, industrial controls, process control, b2b, lean manufacturing, cable harness interconnect, quick turn prototypes, program management, new product introduction, ems outsourcing, medical devices, iso 13485:2016, high mix manufacturing, iso 9001:2015, transportation, healthcare, industrial, logistics & supply chain, electrical/electronic manufacturing, mechanical or industrial engineering, consumers, hardware, hospital & health care, health care, health, wellness & fitness",32,Ironwood,Michigan,United States,49938,1260 Wall St,1978,13.7M,http://www.linkedin.com/company/burton-industries-inc,https://twitter.com/burtonindustry,https://www.facebook.com/BurtonIndustries/,
Delta Electronics Americas,http://www.delta-americas.com,,electrical/electronic manufacturing,electrical/electronic manufacturing,"electrical, electronics manufacturing, thermal management, power supplies, industrial automation, telecom power systems, display, visualization, networking, components, datacenter, automotive, renewable, building automation, ev charging, power electronics, appliances, electrical, & electronics manufacturing, mechanical or industrial engineering, electrical/electronic manufacturing",780,Fremont,California,United States,94538-6468,46101 Fremont Blvd,1982,63.3M,http://www.linkedin.com/company/delta-electronics-americas,https://twitter.com/delta_americas,,
Wurth Elektronik,,+49 7942 9450,electrical/electronic manufacturing,electrical/electronic manufacturing,"custom transformers, magnetics, inductors, common mode chokes, rf components, ferrites, emi shielding, wire, boardtoboard connectors, power elements, terminal blocks, electronic, electromechanical components, printed circuit boards, circuit boardbased solutions, transformers, ac, dc power, dc, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",560,Watertown,South Dakota,United States,57201,121 Airport Dr W,1987,,http://www.linkedin.com/company/wurth-elektronik,,,
Tecnova Electronics,http://www.tecnova.com,+1 847-336-6160,electrical/electronic manufacturing,electrical/electronic manufacturing,"electronic engineering, electronic contract manufacturing, motor drives, electromechanical assembly, pcba, industrial sensing, monitoring, controls, printed circuit board assembly, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",54,Waukegan,Illinois,United States,60031,2383 N Delany Rd,1981,5.4M,http://www.linkedin.com/company/tecnova_2,https://twitter.com/TecnovaInc,https://www.facebook.com/TecnovaInc,
"Ideal Sales, Inc. | PCB Specialists",,,electrical/electronic manufacturing,electrical/electronic manufacturing,"pcb protype, pcb manufacturing, pcb assembly, pcb factory, printed circuit boards, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",3,Santa Ana,California,United States,92704-5332,2917 W Warner Ave,2010,,http://www.linkedin.com/company/ideal-sales-inc,,,
Circuitech PCB Manufacturing Group,http://www.circuitech.com.tw,+886 3 462 4100,electrical/electronic manufacturing,electrical/electronic manufacturing,"hdi printed circuit boards, multilayer printed circuit boards, printed circuit boards, anylayer pcb, ipc class 2, 3, controlled impedance, heavy copper, blind, buried via, mini led, aluminum substrate, back drilling, high frequency, appliances, electrical, & electronics manufacturing, medical pcb, resin plugging pcb, server pcb, multilayer pcb, communication pcb, small volume pcb, iatf 16949, back-drill pcb, manufacturing, automotive electronics, ccd16l pcb, impedance control pcb, distribution, high-mix low-volume, high aspect ratio via, environmental management, n+2+n hdi, layer count customization, micro via pcb, iso 9001, high-reliability pcb, server motherboard pcb, medical devices, sustainable pcb production, iso 14001, quality assurance, flexible manufacturing, medical device pcb, high-speed data transmission, high-tech electronics, copper filled via, high-density pcb, hdi technology, laser drilling pcb, electronics manufacturing, semiconductor and other electronic component manufacturing, b2b, pcb manufacturing, hdi pcb, communication equipment, services, aiot pcb, automotive pcb, anylayer hdi, automotive, industrial pcbs, quick turn pcb, supply chain management, hdi stack via, iso 13485, healthcare, electrical/electronic manufacturing, mechanical or industrial engineering, hospital & health care, logistics & supply chain, health care, health, wellness & fitness",2,Alpharetta,Georgia,United States,30022-5367,525 Putters Ct,1991,,http://www.linkedin.com/company/circuitech-pcb-manufacturing-group,,,
MX Electronics Manufacturing,http://www.mx-emi.com,+1 714-258-0200,electrical/electronic manufacturing,electrical/electronic manufacturing,"prototyping, electronic manufacturing services, quick turn manufacturing, npi services, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",27,Santa Ana,California,United States,92705,1651 East Saint Andrew Place,1994,,http://www.linkedin.com/company/mx-electronics-manufacturing,,,
